location,seal_count,seal_type,closest_station_name,date,rainfall,maxt,mint,wdsp,eastings,northings,lat,long,county
Lettermore Is,3,Harbour,CARROWMORE LACKEN,15/08/2003,0,,,,89800,234700,53.35126,-9.65562,Galway
Lettermore Is,6,Harbour,M.BALLYVOURNEY (Knockacommeen),15/08/2003,0,,,,89000,232000,53.32685,-9.66668,Galway
Lettermore Is,2,Harbour,BELCARRA (Carrajames),15/08/2003,0,,,,93400,237300,53.37535,-9.60246,Galway
Garvan,2,Grey,CLONASLEE WATERWORKS II,12/08/2003,1.4,,,,243500,460200,55.38659,-7.31441,Donegal
Garvan,1,Grey,CLONASLEE WATERWORKS II,12/08/2003,1.4,,,,243700,460400,55.38836,-7.31122,Donegal
Garvan,11,Grey,CLONASLEE WATERWORKS II,12/08/2003,1.4,,,,243500,460800,55.39197,-7.31432,Donegal
Inishtrahull,6,Grey,MULLINAHONE (Killaghy),12/08/2003,1.4,,,,249300,465300,55.43184,-7.22201,Donegal
Inishtrahull,15,Grey,MULLINAHONE (Killaghy),12/08/2003,1.4,,,,248200,465600,55.43465,-7.23933,Donegal
Inishtrahull,21,Grey,MULLINAHONE (Killaghy),12/08/2003,1.4,,,,247400,466900,55.4464,-7.25174,Donegal
Inishtrahull,4,Grey,MULLINAHONE (Killaghy),12/08/2003,1.4,,,,248200,467300,55.44991,-7.23903,Donegal
Killala Bay,1,Grey,CORK AIRPORT,13/08/2003,0,,,,123500,334200,54.25096,-9.17439,Mayo
Killala Bay,4,Grey,GRANGE (Mountemple),13/08/2003,0,,,,122500,335300,54.26069,-9.19001,Mayo
Cleggan,9,Harbour,BALLINA (Attymass),15/08/2003,0,,,,57200,259800,53.56883,-10.15623,Galway
Cleggan,1,Harbour,CORROFIN (Soheen),15/08/2003,0,,,,54700,257600,53.5484,-10.19292,Galway
Cleggan,4,Harbour,BALLINA (Shanaghy),15/08/2003,0,,,,56600,250700,53.48697,-10.16112,Galway
Mannin Bay,1,Grey,DUNMANWAY (Demesne),15/08/2003,0,,,,62000,246600,53.4516,-10.07803,Galway
Slyne Hd,1,Grey,MACROOM (Renaniree),15/08/2003,0,,,,54400,242900,53.41633,-10.19063,Galway
Slyne Hd,1,Grey,MACROOM (Renaniree),15/08/2003,0,,,,53800,241700,53.40539,-10.19909,Galway
Slyne Hd,5,Grey,MACROOM (Renaniree),15/08/2003,0,,,,52300,241300,53.40139,-10.22144,Galway
Slyne Hd,2,Grey,MACROOM (Renaniree),15/08/2003,0,,,,52300,241200,53.40049,-10.22139,Galway
Slyne Hd,2,Grey,MACROOM (Renaniree),15/08/2003,0,,,,51400,240800,53.39664,-10.23473,Galway
Slyne Hd,8,Grey,MACROOM (Renaniree),15/08/2003,0,,,,52100,240600,53.39505,-10.22412,Galway
Slyne Hd,1,Grey,MACROOM (Renaniree),15/08/2003,0,,,,57900,240100,53.39215,-10.13677,Galway
Slyne Hd,2,Grey,MACROOM (Renaniree),15/08/2003,0,,,,59700,240500,53.39622,-10.10991,Galway
Slyne Hd,3,Grey,MACROOM (Renaniree),15/08/2003,0,,,,59800,240400,53.39535,-10.10836,Galway
Slyne Hd,1,Grey,LISGLENNON WATERWORKS,15/08/2003,0,,,,60200,239200,53.38468,-10.10182,Galway
Slyne Hd,3,Grey,LISGLENNON WATERWORKS,15/08/2003,0,,,,60400,238900,53.38204,-10.09869,Galway
Slyne Hd,1,Grey,MACROOM (Renaniree),15/08/2003,0,,,,61100,240100,53.393,-10.0887,Galway
Slyne Hd,1,Grey,LISGLENNON WATERWORKS,15/08/2003,0,,,,63800,238900,53.38293,-10.04763,Galway
Slyne ad,3,Grey,BELCARRA (Carrajames),15/08/2003,0,,,,64000,238800,53.38208,-10.04458,Galway
Cleggan,1,Harbour,MACROOM (Curraleigh),15/08/2003,0,,,,62700,252800,53.50745,-10.07021,Galway
Mannin Bay,1,Harbour,DUNMANWAY (Demesne),15/08/2003,0,,,,62200,248300,53.46691,-10.07576,Galway
Mannin Bay,5,Harbour,DUNMANWAY (Demesne),15/08/2003,0,,,,62000,246600,53.4516,-10.07803,Galway
Mannin Bay,7,Harbour,DUNMANWAY (Demesne),15/08/2003,0,,,,61900,246600,53.45157,-10.07953,Galway
Mannin Bay,2,Harbour,DUNMANWAY (Demesne),15/08/2003,0,,,,58200,247100,53.45508,-10.13541,Galway
Mannin Bay,1,Harbour,DUNMANWAY (Demesne),15/08/2003,0,,,,58200,246600,53.45059,-10.13518,Galway
Slyne Head,2,Harbour,MACROOM (Renaniree),15/08/2003,0,,,,62400,242000,53.4104,-10.07,Galway
Slyne Head,2,Harbour,MACROOM (Renaniree),15/08/2003,0,,,,63700,241200,53.40355,-10.05012,Galway
Magharee Is,1,Grey,DERRIANA,17/08/2003,2.3,,,,62700,121300,52.32659,-10.01463,Kerry
Magharee Is,1,Grey,CLEGGAN (Cloch Breac),17/08/2003,2.3,,,,59600,119400,52.30874,-10.05928,Kerry
Clogher Hd,1,Grey,CROAGH (Smithfield),20/08/2003,0.3,,,,315900,284800,53.79998,-6.24172,Louth
